white_rating,black_rating,opening_name,opening_eco,time_control,num_moves,result,rating_diff,avg_rating,higher_rated_won
1591,1545,King's Indian Defense,E60,Classical,21,white,46,1568.0,True
1188,1344,Pirc Defense,B07,Blitz,27,black,-156,1266.0,True
1725,1612,Sicilian Defense,B20,Rapid,21,black,113,1668.5,False
1782,1641,London System,D02,Blitz,60,white,141,1711.5,True
915,1208,King's Indian Defense,E60,Classical,21,black,-293,1061.5,True
1109,1304,Scandinavian Defense,B01,Blitz,69,black,-195,1206.5,True
1538,1519,Italian Game,C50,Rapid,26,black,19,1528.5,False
1405,1452,Slav Defense,D10,Bullet,23,black,-47,1428.5,True
1495,1498,Sicilian Defense,B20,Blitz,33,white,-3,1496.5,False
1244,1372,Slav Defense,D10,Rapid,40,black,-128,1308.0,True
1764,1632,English Opening,A10,Bullet,36,white,132,1698.0,True
1733,1616,French Defense,C00,Bullet,57,white,117,1674.5,True
1520,1510,Sicilian Defense,B20,Classical,46,draw,10,1515.0,False
1838,1669,English Opening,A10,Blitz,44,black,169,1753.5,False
1640,1570,Italian Game,C50,Bullet,45,white,70,1605.0,True
1242,1371,English Opening,A10,Blitz,59,black,-129,1306.5,True
1611,1556,London System,D02,Blitz,67,white,55,1583.5,True
1212,1356,Queen's Gambit,D06,Blitz,56,black,-144,1284.0,True
1764,1632,Ruy Lopez,C60,Classical,54,white,132,1698.0,True
1485,1492,Ruy Lopez,C60,Classical,62,black,-7,1488.5,True
1445,1473,Ruy Lopez,C60,Blitz,31,white,-28,1459.0,False
1296,1398,Italian Game,C50,Blitz,28,black,-102,1347.0,True
1867,1684,Ruy Lopez,C60,Blitz,27,black,183,1775.5,False
1454,1477,English Opening,A10,Rapid,50,white,-23,1465.5,False
1372,1436,Queen's Gambit,D06,Bullet,42,black,-64,1404.0,True
1394,1447,London System,D02,Bullet,59,white,-53,1420.5,False
1660,1580,London System,D02,Classical,66,white,80,1620.0,True
1610,1555,London System,D02,Rapid,45,black,55,1582.5,False
1624,1562,King's Indian Defense,E60,Blitz,68,white,62,1593.0,True
1629,1564,Queen's Gambit,D06,Blitz,57,black,65,1596.5,False
2142,1821,Pirc Defense,B07,Blitz,44,white,321,1981.5,True
1378,1439,Ruy Lopez,C60,Blitz,32,draw,-61,1408.5,False
1346,1423,Caro-Kann Defense,B10,Bullet,34,white,-77,1384.5,False
1256,1378,Caro-Kann Defense,B10,Bullet,49,white,-122,1317.0,False
1685,1593,Scandinavian Defense,B01,Blitz,69,white,92,1639.0,True
1839,1670,King's Indian Defense,E60,Blitz,47,white,169,1754.5,True
1466,1483,London System,D02,Blitz,36,white,-17,1474.5,False
1248,1374,Pirc Defense,B07,Bullet,53,black,-126,1311.0,True
1253,1377,French Defense,C00,Classical,21,white,-124,1315.0,False
1695,1597,Slav Defense,D10,Blitz,46,white,98,1646.0,True
1723,1612,Ruy Lopez,C60,Rapid,48,white,111,1667.5,True
1663,1582,Slav Defense,D10,Bullet,39,white,81,1622.5,True
1300,1400,Ruy Lopez,C60,Blitz,59,white,-100,1350.0,False
1570,1535,Slav Defense,D10,Rapid,52,white,35,1552.5,True
1535,1517,French Defense,C00,Blitz,20,black,18,1526.0,False
1566,1533,Pirc Defense,B07,Bullet,42,draw,33,1549.5,False
1761,1630,Italian Game,C50,Bullet,42,black,131,1695.5,False
1567,1533,Caro-Kann Defense,B10,Bullet,20,black,34,1550.0,False
1704,1602,Slav Defense,D10,Blitz,47,black,102,1653.0,False
1520,1510,Sicilian Defense,B20,Blitz,49,black,10,1515.0,False
1587,1544,Queen's Gambit,D06,Bullet,62,white,43,1565.5,True
1689,1594,Italian Game,C50,Blitz,40,draw,95,1641.5,False
1063,1282,Queen's Gambit,D06,Bullet,57,black,-219,1172.5,True
1404,1452,French Defense,C00,Blitz,32,white,-48,1428.0,False
1359,1430,English Opening,A10,Blitz,67,black,-71,1394.5,True
1308,1404,Queen's Gambit,D06,Bullet,58,draw,-96,1356.0,False
1417,1458,Italian Game,C50,Bullet,37,draw,-41,1437.5,False
1948,1724,Ruy Lopez,C60,Bullet,67,white,224,1836.0,True
1240,1370,Pirc Defense,B07,Bullet,23,black,-130,1305.0,True
1790,1645,Pirc Defense,B07,Blitz,58,white,145,1717.5,True
995,1247,Ruy Lopez,C60,Bullet,65,black,-252,1121.0,True
1400,1450,Ruy Lopez,C60,Bullet,62,black,-50,1425.0,True
1549,1525,Sicilian Defense,B20,Classical,63,white,24,1537.0,True
1676,1588,Pirc Defense,B07,Classical,51,black,88,1632.0,False
1713,1606,Scandinavian Defense,B01,Bullet,52,white,107,1659.5,True
1738,1619,London System,D02,Blitz,60,white,119,1678.5,True
1395,1447,Queen's Gambit,D06,Blitz,34,white,-52,1421.0,False
1361,1430,English Opening,A10,Rapid,82,draw,-69,1395.5,False
1757,1628,Sicilian Defense,B20,Rapid,26,white,129,1692.5,True
1443,1472,Scandinavian Defense,B01,Bullet,37,black,-29,1457.5,True
1117,1308,King's Indian Defense,E60,Bullet,52,black,-191,1212.5,True
1160,1330,Queen's Gambit,D06,Blitz,48,black,-170,1245.0,True
1224,1362,Scandinavian Defense,B01,Rapid,69,white,-138,1293.0,False
1649,1574,English Opening,A10,Rapid,42,black,75,1611.5,False
1543,1522,Caro-Kann Defense,B10,Bullet,62,draw,21,1532.5,False
1707,1603,Ruy Lopez,C60,Blitz,54,white,104,1655.0,True
1372,1436,Sicilian Defense,B20,Bullet,66,white,-64,1404.0,False
1548,1524,Pirc Defense,B07,Blitz,63,black,24,1536.0,False
1688,1594,Queen's Gambit,D06,Classical,65,white,94,1641.0,True
1407,1453,Queen's Gambit,D06,Blitz,34,black,-46,1430.0,True
1637,1568,Scandinavian Defense,B01,Bullet,22,white,69,1602.5,True
1301,1400,Queen's Gambit,D06,Blitz,33,white,-99,1350.5,False
1391,1445,French Defense,C00,Blitz,63,black,-54,1418.0,True
1385,1442,Scandinavian Defense,B01,Rapid,21,black,-57,1413.5,True
1141,1320,English Opening,A10,Blitz,62,white,-179,1230.5,False
1646,1573,English Opening,A10,Rapid,49,white,73,1609.5,True
1359,1429,Sicilian Defense,B20,Bullet,67,black,-70,1394.0,True
1504,1502,Caro-Kann Defense,B10,Bullet,26,black,2,1503.0,False
1644,1572,Caro-Kann Defense,B10,Blitz,25,white,72,1608.0,True
1634,1567,English Opening,A10,Bullet,36,white,67,1600.5,True
1700,1600,Italian Game,C50,Bullet,43,black,100,1650.0,False
1470,1485,Italian Game,C50,Blitz,52,white,-15,1477.5,False
1373,1436,London System,D02,Bullet,43,black,-63,1404.5,True
1476,1488,Scandinavian Defense,B01,Bullet,64,draw,-12,1482.0,False
994,1247,London System,D02,Bullet,67,black,-253,1120.5,True
1066,1283,Queen's Gambit,D06,Bullet,37,black,-217,1174.5,True
1103,1301,Pirc Defense,B07,Rapid,29,black,-198,1202.0,True
1201,1351,Queen's Gambit,D06,Classical,54,white,-150,1276.0,False
1620,1560,English Opening,A10,Bullet,40,black,60,1590.0,False
1228,1364,Italian Game,C50,Rapid,35,black,-136,1296.0,True
1387,1444,Pirc Defense,B07,Rapid,41,black,-57,1415.5,True
1890,1695,Queen's Gambit,D06,Classical,34,white,195,1792.5,True
1393,1446,London System,D02,Blitz,29,black,-53,1419.5,True
1721,1610,Queen's Gambit,D06,Bullet,59,white,111,1665.5,True
1220,1360,London System,D02,Blitz,28,white,-140,1290.0,False
1438,1469,Caro-Kann Defense,B10,Rapid,68,black,-31,1453.5,True
1215,1358,Sicilian Defense,B20,Rapid,28,black,-143,1286.5,True
1398,1449,Ruy Lopez,C60,Blitz,20,black,-51,1423.5,True
1752,1626,Scandinavian Defense,B01,Bullet,40,black,126,1689.0,False
982,1241,Ruy Lopez,C60,Rapid,50,white,-259,1111.5,False
1630,1565,Queen's Gambit,D06,Rapid,61,white,65,1597.5,True
1571,1535,King's Indian Defense,E60,Blitz,53,draw,36,1553.0,False
1322,1411,Queen's Gambit,D06,Blitz,64,black,-89,1366.5,True
1066,1283,Italian Game,C50,Blitz,55,black,-217,1174.5,True
1522,1511,English Opening,A10,Blitz,39,white,11,1516.5,True
1341,1420,Scandinavian Defense,B01,Blitz,51,white,-79,1380.5,False
1570,1535,Scandinavian Defense,B01,Rapid,45,black,35,1552.5,False
1507,1504,Pirc Defense,B07,Classical,67,white,3,1505.5,True
1981,1741,Italian Game,C50,Blitz,50,black,240,1861.0,False
1428,1464,Caro-Kann Defense,B10,Blitz,58,black,-36,1446.0,True
1193,1347,Ruy Lopez,C60,Blitz,60,black,-154,1270.0,True
1554,1527,Slav Defense,D10,Bullet,73,draw,27,1540.5,False
1566,1533,King's Indian Defense,E60,Bullet,65,draw,33,1549.5,False
1908,1704,Italian Game,C50,Bullet,36,white,204,1806.0,True
1751,1626,Scandinavian Defense,B01,Blitz,67,black,125,1688.5,False
1607,1553,Sicilian Defense,B20,Bullet,49,draw,54,1580.0,False
1939,1720,Queen's Gambit,D06,Blitz,58,black,219,1829.5,False
1143,1321,Scandinavian Defense,B01,Rapid,47,black,-178,1232.0,True
1308,1404,King's Indian Defense,E60,Bullet,55,white,-96,1356.0,False
1222,1361,London System,D02,Blitz,34,black,-139,1291.5,True
1383,1441,King's Indian Defense,E60,Classical,36,white,-58,1412.0,False
1087,1294,Slav Defense,D10,Blitz,59,black,-207,1190.5,True
1691,1596,King's Indian Defense,E60,Bullet,44,black,95,1643.5,False
1433,1466,Sicilian Defense,B20,Blitz,27,white,-33,1449.5,False
1059,1280,Sicilian Defense,B20,Blitz,48,black,-221,1169.5,True
1195,1347,London System,D02,Blitz,30,white,-152,1271.0,False
1594,1547,Sicilian Defense,B20,Bullet,61,black,47,1570.5,False
1751,1625,French Defense,C00,Blitz,54,white,126,1688.0,True
2099,1799,Sicilian Defense,B20,Blitz,55,white,300,1949.0,True
2374,1937,Queen's Gambit,D06,Bullet,57,white,437,2155.5,True
1624,1562,English Opening,A10,Blitz,55,white,62,1593.0,True
1203,1351,Ruy Lopez,C60,Bullet,24,black,-148,1277.0,True
860,1180,Caro-Kann Defense,B10,Blitz,52,black,-320,1020.0,True
1580,1540,Pirc Defense,B07,Rapid,42,white,40,1560.0,True
1256,1378,Sicilian Defense,B20,Bullet,40,black,-122,1317.0,True
1375,1437,Sicilian Defense,B20,Blitz,59,black,-62,1406.0,True
1316,1408,Queen's Gambit,D06,Blitz,69,white,-92,1362.0,False
1458,1479,London System,D02,Blitz,54,white,-21,1468.5,False
1820,1660,French Defense,C00,Classical,62,draw,160,1740.0,False
1547,1523,English Opening,A10,Blitz,48,black,24,1535.0,False
1452,1476,Sicilian Defense,B20,Bullet,27,white,-24,1464.0,False
1189,1344,Scandinavian Defense,B01,Classical,38,draw,-155,1266.5,False
998,1249,Sicilian Defense,B20,Rapid,33,black,-251,1123.5,True
1354,1427,Scandinavian Defense,B01,Blitz,71,draw,-73,1390.5,False
1484,1492,Italian Game,C50,Bullet,56,white,-8,1488.0,False
2030,1765,Slav Defense,D10,Bullet,28,white,265,1897.5,True
1539,1519,Queen's Gambit,D06,Blitz,63,draw,20,1529.0,False
1795,1648,Ruy Lopez,C60,Bullet,47,white,147,1721.5,True
1350,1425,French Defense,C00,Bullet,34,black,-75,1387.5,True
1145,1323,Sicilian Defense,B20,Rapid,59,black,-178,1234.0,True
1210,1355,Italian Game,C50,Bullet,36,black,-145,1282.5,True
1282,1391,English Opening,A10,Bullet,66,white,-109,1336.5,False
2139,1820,Queen's Gambit,D06,Bullet,67,white,319,1979.5,True
1254,1377,French Defense,C00,Blitz,66,black,-123,1315.5,True
1752,1626,London System,D02,Blitz,65,white,126,1689.0,True
1229,1364,Italian Game,C50,Rapid,41,white,-135,1296.5,False
1779,1639,French Defense,C00,Bullet,58,white,140,1709.0,True
1615,1557,Ruy Lopez,C60,Bullet,52,white,58,1586.0,True
1453,1476,Caro-Kann Defense,B10,Blitz,49,black,-23,1464.5,True
1488,1494,Queen's Gambit,D06,Blitz,59,draw,-6,1491.0,False
1304,1402,Sicilian Defense,B20,Blitz,31,black,-98,1353.0,True
1634,1567,Sicilian Defense,B20,Classical,51,white,67,1600.5,True
1364,1432,Slav Defense,D10,Blitz,48,white,-68,1398.0,False
1132,1316,Sicilian Defense,B20,Blitz,47,black,-184,1224.0,True
1117,1309,London System,D02,Classical,64,black,-192,1213.0,True
1552,1526,Slav Defense,D10,Bullet,30,black,26,1539.0,False
1974,1737,Caro-Kann Defense,B10,Classical,68,white,237,1855.5,True
1548,1524,Queen's Gambit,D06,Blitz,64,black,24,1536.0,False
1464,1482,London System,D02,Blitz,64,black,-18,1473.0,True
1586,1543,Pirc Defense,B07,Classical,55,draw,43,1564.5,False
1892,1696,Italian Game,C50,Blitz,39,white,196,1794.0,True
1566,1533,Pirc Defense,B07,Blitz,69,black,33,1549.5,False
1377,1439,Pirc Defense,B07,Bullet,62,black,-62,1408.0,True
1832,1666,Italian Game,C50,Blitz,42,white,166,1749.0,True
1629,1565,Sicilian Defense,B20,Blitz,42,black,64,1597.0,False
1961,1731,Scandinavian Defense,B01,Bullet,69,white,230,1846.0,True
1555,1528,Sicilian Defense,B20,Rapid,38,black,27,1541.5,False
1133,1317,English Opening,A10,Blitz,57,black,-184,1225.0,True
1090,1295,Sicilian Defense,B20,Blitz,53,white,-205,1192.5,False
1995,1747,Scandinavian Defense,B01,Bullet,59,white,248,1871.0,True
2017,1758,Ruy Lopez,C60,Blitz,60,white,259,1887.5,True
1446,1473,Italian Game,C50,Bullet,60,white,-27,1459.5,False
1385,1442,Sicilian Defense,B20,Bullet,54,black,-57,1413.5,True
1938,1719,Ruy Lopez,C60,Blitz,35,black,219,1828.5,False
1168,1334,King's Indian Defense,E60,Bullet,50,black,-166,1251.0,True
1232,1366,Sicilian Defense,B20,Bullet,64,black,-134,1299.0,True
1693,1597,London System,D02,Blitz,22,white,96,1645.0,True
1382,1441,English Opening,A10,Blitz,59,white,-59,1411.5,False
1498,1499,Queen's Gambit,D06,Classical,23,white,-1,1498.5,False
1451,1476,Pirc Defense,B07,Classical,23,black,-25,1463.5,True
1601,1550,English Opening,A10,Blitz,54,white,51,1575.5,True
1922,1711,Scandinavian Defense,B01,Classical,22,white,211,1816.5,True
1527,1513,Ruy Lopez,C60,Rapid,24,black,14,1520.0,False
1693,1596,Scandinavian Defense,B01,Blitz,53,white,97,1644.5,True
885,1193,King's Indian Defense,E60,Rapid,56,white,-308,1039.0,False
1485,1492,Pirc Defense,B07,Bullet,53,white,-7,1488.5,False
1247,1373,Caro-Kann Defense,B10,Blitz,38,black,-126,1310.0,True
1134,1317,Scandinavian Defense,B01,Blitz,41,black,-183,1225.5,True
1237,1369,French Defense,C00,Bullet,39,white,-132,1303.0,False
1400,1450,Sicilian Defense,B20,Bullet,56,white,-50,1425.0,False
1775,1638,Italian Game,C50,Classical,32,white,137,1706.5,True
1102,1301,Slav Defense,D10,Blitz,55,draw,-199,1201.5,False
1509,1504,Scandinavian Defense,B01,Bullet,66,white,5,1506.5,True
1355,1428,French Defense,C00,Bullet,20,white,-73,1391.5,False
1402,1451,Scandinavian Defense,B01,Blitz,61,black,-49,1426.5,True
1801,1651,Sicilian Defense,B20,Rapid,25,white,150,1726.0,True
1661,1580,Sicilian Defense,B20,Rapid,36,white,81,1620.5,True
1901,1700,King's Indian Defense,E60,Blitz,21,white,201,1800.5,True
1454,1477,English Opening,A10,Bullet,58,white,-23,1465.5,False
1291,1395,Pirc Defense,B07,Bullet,41,draw,-104,1343.0,False
1433,1467,London System,D02,Blitz,62,draw,-34,1450.0,False
1573,1537,Queen's Gambit,D06,Rapid,66,black,36,1555.0,False
1553,1527,London System,D02,Rapid,34,white,26,1540.0,True
1175,1338,Caro-Kann Defense,B10,Blitz,29,black,-163,1256.5,True
1527,1513,London System,D02,Blitz,38,black,14,1520.0,False
1568,1534,Ruy Lopez,C60,Blitz,25,white,34,1551.0,True
2255,1877,Sicilian Defense,B20,Blitz,47,white,378,2066.0,True
2063,1781,Sicilian Defense,B20,Blitz,61,white,282,1922.0,True
1244,1372,Pirc Defense,B07,Blitz,21,draw,-128,1308.0,False
1414,1457,Sicilian Defense,B20,Blitz,56,black,-43,1435.5,True
1061,1281,Pirc Defense,B07,Classical,29,black,-220,1171.0,True
1323,1412,Scandinavian Defense,B01,Blitz,60,white,-89,1367.5,False
1595,1548,Italian Game,C50,Bullet,28,white,47,1571.5,True
1862,1681,Slav Defense,D10,Bullet,35,white,181,1771.5,True
1281,1390,Italian Game,C50,Blitz,57,black,-109,1335.5,True
1304,1402,Italian Game,C50,Blitz,32,black,-98,1353.0,True
856,1178,King's Indian Defense,E60,Blitz,51,black,-322,1017.0,True
1451,1475,Queen's Gambit,D06,Rapid,26,black,-24,1463.0,True
1181,1340,Queen's Gambit,D06,Bullet,48,white,-159,1260.5,False
1341,1420,Ruy Lopez,C60,Blitz,48,black,-79,1380.5,True
1237,1369,English Opening,A10,Rapid,41,black,-132,1303.0,True
1472,1486,Sicilian Defense,B20,Blitz,20,white,-14,1479.0,False
973,1237,Ruy Lopez,C60,Blitz,47,black,-264,1105.0,True
1060,1280,King's Indian Defense,E60,Bullet,53,white,-220,1170.0,False
2139,1820,Caro-Kann Defense,B10,Blitz,49,white,319,1979.5,True
1114,1307,Scandinavian Defense,B01,Rapid,54,black,-193,1210.5,True
1171,1336,Ruy Lopez,C60,Classical,54,black,-165,1253.5,True
