white_rating,black_rating,opening_name,opening_eco,time_control,num_moves,result
1591,1545,King's Indian Defense,E60,Classical,21,white
1188,1344,Pirc Defense,B07,Blitz,27,black
1725,1612,Sicilian Defense,B20,Rapid,21,black
1782,1641,London System,D02,Blitz,60,white
915,1208,King's Indian Defense,E60,Classical,21,black
1109,1304,Scandinavian Defense,B01,Blitz,69,black
1538,1519,Italian Game,C50,Rapid,26,black
1405,1452,Slav Defense,D10,Bullet,23,black
1495,1498,Sicilian Defense,B20,Blitz,33,white
1244,1372,Slav Defense,D10,Rapid,40,black
1764,1632,English Opening,A10,Bullet,36,white
1733,1616,French Defense,C00,Bullet,57,white
1520,1510,Sicilian Defense,B20,Classical,46,draw
1838,1669,English Opening,A10,Blitz,44,black
1640,1570,Italian Game,C50,Bullet,45,white
1242,1371,English Opening,A10,Blitz,59,black
1611,1556,London System,D02,Blitz,67,white
1212,1356,Queen's Gambit,D06,Blitz,56,black
1764,1632,Ruy Lopez,C60,Classical,54,white
1485,1492,Ruy Lopez,C60,Classical,62,black
1445,1473,Ruy Lopez,C60,Blitz,31,white
1296,1398,Italian Game,C50,Blitz,28,black
1867,1684,Ruy Lopez,C60,Blitz,27,black
1454,1477,English Opening,A10,Rapid,50,white
1372,1436,Queen's Gambit,D06,Bullet,42,black
1394,1447,London System,D02,Bullet,59,white
1660,1580,London System,D02,Classical,66,white
1610,1555,London System,D02,Rapid,45,black
1624,1562,King's Indian Defense,E60,Blitz,68,white
1629,1564,Queen's Gambit,D06,Blitz,57,black
2142,1821,Pirc Defense,B07,Blitz,44,white
1378,1439,Ruy Lopez,C60,Blitz,32,draw
1346,1423,Caro-Kann Defense,B10,Bullet,34,white
1256,1378,Caro-Kann Defense,B10,Bullet,49,white
1685,1593,Scandinavian Defense,B01,Blitz,69,white
1839,1670,King's Indian Defense,E60,Blitz,47,white
1466,1483,London System,D02,Blitz,36,white
1248,1374,Pirc Defense,B07,Bullet,53,black
1253,1377,French Defense,C00,Classical,21,white
1695,1597,Slav Defense,D10,Blitz,46,white
1723,1612,Ruy Lopez,C60,Rapid,48,white
1663,1582,Slav Defense,D10,Bullet,39,white
1300,1400,Ruy Lopez,C60,Blitz,59,white
1570,1535,Slav Defense,D10,Rapid,52,white
1535,1517,French Defense,C00,Blitz,20,black
1566,1533,Pirc Defense,B07,Bullet,42,draw
1761,1630,Italian Game,C50,Bullet,42,black
1567,1533,Caro-Kann Defense,B10,Bullet,20,black
1704,1602,Slav Defense,D10,Blitz,47,black
1520,1510,Sicilian Defense,B20,Blitz,49,black
1587,1544,Queen's Gambit,D06,Bullet,62,white
1689,1594,Italian Game,C50,Blitz,40,draw
1063,1282,Queen's Gambit,D06,Bullet,57,black
1404,1452,French Defense,C00,Blitz,32,white
1359,1430,English Opening,A10,Blitz,67,black
1308,1404,Queen's Gambit,D06,Bullet,58,draw
1417,1458,Italian Game,C50,Bullet,37,draw
1948,1724,Ruy Lopez,C60,Bullet,67,white
1240,1370,Pirc Defense,B07,Bullet,23,black
1790,1645,Pirc Defense,B07,Blitz,58,white
995,1247,Ruy Lopez,C60,Bullet,65,black
1400,1450,Ruy Lopez,C60,Bullet,62,black
1549,1525,Sicilian Defense,B20,Classical,63,white
1676,1588,Pirc Defense,B07,Classical,51,black
1713,1606,Scandinavian Defense,B01,Bullet,52,white
1738,1619,London System,D02,Blitz,60,white
1395,1447,Queen's Gambit,D06,Blitz,34,white
1361,1430,English Opening,A10,Rapid,82,draw
1757,1628,Sicilian Defense,B20,Rapid,26,white
1443,1472,Scandinavian Defense,B01,Bullet,37,black
1117,1308,King's Indian Defense,E60,Bullet,52,black
1160,1330,Queen's Gambit,D06,Blitz,48,black
1224,1362,Scandinavian Defense,B01,Rapid,69,white
1649,1574,English Opening,A10,Rapid,42,black
1543,1522,Caro-Kann Defense,B10,Bullet,62,draw
1707,1603,Ruy Lopez,C60,Blitz,54,white
1372,1436,Sicilian Defense,B20,Bullet,66,white
1548,1524,Pirc Defense,B07,Blitz,63,black
1688,1594,Queen's Gambit,D06,Classical,65,white
1407,1453,Queen's Gambit,D06,Blitz,34,black
1637,1568,Scandinavian Defense,B01,Bullet,22,white
1301,1400,Queen's Gambit,D06,Blitz,33,white
1391,1445,French Defense,C00,Blitz,63,black
1385,1442,Scandinavian Defense,B01,Rapid,21,black
1141,1320,English Opening,A10,Blitz,62,white
1646,1573,English Opening,A10,Rapid,49,white
1359,1429,Sicilian Defense,B20,Bullet,67,black
1504,1502,Caro-Kann Defense,B10,Bullet,26,black
1644,1572,Caro-Kann Defense,B10,Blitz,25,white
1634,1567,English Opening,A10,Bullet,36,white
1700,1600,Italian Game,C50,Bullet,43,black
1470,1485,Italian Game,C50,Blitz,52,white
1373,1436,London System,D02,Bullet,43,black
1476,1488,Scandinavian Defense,B01,Bullet,64,draw
994,1247,London System,D02,Bullet,67,black
1066,1283,Queen's Gambit,D06,Bullet,37,black
1103,1301,Pirc Defense,B07,Rapid,29,black
